NSE/ABAN,Aban Offshore Limited
NSE/ABB,ABB India Limited
NSE/ABGSHIP,ABG Shipyard Limited
NSE/ACC,ACC Limited
NSE/ADANIENT,Adani Enterprises Limited
NSE/ADANIPOWER,Adani Power Limited
NSE/ADVANIHOTR,Advani Hotels & Resorts (India) Limited
NSE/APOLLOTYRE,Apollo Tyres Limited
NSE/AJANTPHARM,Ajanta Pharma Limited
NSE/ALBK,Allahabad Bank
NSE/ALCHEM,Alchemist Limited
NSE/AMBUJACEM,Ambuja Cements Limited
NSE/ANDHRABANK,Andhra Bank
NSE/APOLLOHOSP,Apollo Hospitals Enterprise Limited
NSE/ASHOKLEY,Ashok Leyland Limited
NSE/ASIANPAINT,Asian Paints Limited
NSE/AXISBANK,Axis Bank Limited
NSE/BANKBARODA,Bank of Baroda
NSE/BANKINDIA,Bank of India
NSE/BERGEPAINT,Berger Paints (I) Limited
NSE/BIRLACORPN,Birla Corporation Limited
NSE/BOSCHLTD,Bosch Limited
NSE/CEATLTD,CEAT Limited
NSE/CENTRALBK,Central Bank of India
NSE/COALINDIA,Coal India Limited
NSE/CRISIL,CRISIL Limited
NSE/CIPLA,Cipla Limited
NSE/DISHTV,Dish TV India Limited
NSE/DLF,DLF Limited
NSE/DRREDDY,Dr. Reddy's Laboratories Limited
NSE/FORTIS,Fortis Healthcare Limited
NSE/GVKPIL,GVK Power & Infrastructure Limited
NSE/HDFCBANK,HDFC Bank Limited
NSE/HEROMOTOCO,Hero MotoCorp Limited
NSE/HINDUNILVR,Hindustan Unilever Limited
NSE/ICICIBANK,ICICI Bank Limited
NSE/IOC,Indian Oil Corporation Limited
NSE/JKCEMENT,JK Cement Limited
NSE/LT,Larsen & Toubro Limited
NSE/MOTILALOFS,Motilal Oswal Financial Services Limited
NSE/MRF,MRF Limited
NSE/NESTLEIND,Nestle India Limited
NSE/ONGC,Oil & Natural Gas Corporation Limited
NSE/PFIZER,Pfizer Limited
NSE/PNB,Punjab National Bank
NSE/PVR,PVR Limited
NSE/TATAMOTORS,Tata Motors Limited
NSE/RAYMOND,Raymond Limited
NSE/RCOM,Reliance Communications Limited
NSE/SBIN,State Bank of India
